line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
266;amm;Ama;Ama language;;qfa-mal;Left May;;;;Latn;;
267;amn;Amanab;Amanab language;;paa-brd;Border;;;;Latn;;
268;amo;Amo;Amo language;;nic-kne;East Kainji;;;;Latn;Timap,Map,Among,Amap,Amon;
269;amp;Alamblak;Alamblak language;;paa;Papuan;;;;Latn;;
270;amq;Amahai;Amahai language;;poz-cma;Central Maluku;;;;Latn;;
271;amr;Amarakaeri;Amarakaeri language;;sai-har;Harákmbut;;;;Latn;;
272;ams;Southern Amami-Oshima;Southern Amami-Oshima language;;jpx-ryu;Ryukyuan;;;;Jpan;;
273;amt;Amto;Amto language;;paa-asa;Arai-Samaia;;;;Latn;;
274;amu;Guerrero Amuzgo;Guerrero Amuzgo language;;omq;Oto-Manguean;;;;Latn;Amuzgo,Xochistlahuaca Amuzgo,Northern Amuzgo,Southern Amuzgo;
275;amv;Ambelau;Ambelau language;;poz-cma;Central Maluku;;;;Latn;;
276;amw;Western Neo-Aramaic;Western Neo-Aramaic language;;sem-arw;Western Aramaic;;;;Armi,Syrc,Latn;;
277;amx;Anmatyerre;Anmatyerre language;;aus-pam;Pama-Nyungan;;;;Latn;Namfau;
278;amy;Ami;Ami language;;aus-dal;Daly;;;;Latn;Ame,Amijangal;
279;amz;Atampaya;Atampaya language;;aus-pam;Pama-Nyungan;;;;Latn;;
280;an;Aragonese;Aragonese language;;roa-ibe;West Iberian;;;;Latn;;
281;ana;Andaqui;Andaqui language;;;;;;Latn;;
282;anb;Andoa;Andoa language;;sai-zap;Zaparoan;;;;Latn;Shimigae,Semigae,Gae,Gay,Gaye,Siaviri,Katsakáti;
283;anc;Ngas;Ngas language;;cdc-wst;West Chadic;;;;Latn;Angas,Angass,Hill Ngas,Plain Ngas,Hill Angas,Plain Angas,Karang,Kerang;
284;and;Ansus;Ansus language;;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
285;ane;Xârâcùù;Xârâcùù language;;poz-cln;New Caledonian;;;;Latn;;
286;anf;Animere;Animere language;;alv-ktg;Ka-Togo;;;;Latn;;
287;ang;Old English;Old English language;;gmw;West Germanic;sortkey;autodetect;;Latinx,Runr;;
288;anh;Nend;Nend language;;ngf-mad;Madang;;;;Latn;Nent,Angaua;
289;ani;Andi;Andi language;;cau-ava;Avaro-Andian;;;;Cyrl;;
290;anj;Anor;Anor language;;paa;Papuan;;;;Latn;;
291;ank;Goemai;Goemai language;;cdc-wst;West Chadic;;;;Latn;;
292;anl;Anu;Anu language;;sit-mru;Mruic;;;;Latn;Khaungtso,Anu-Hkongso,Anu-Hkongso Chin;
